VEH_VEHTYPE,3,E,Motor cycle 51cc - 125cc
VEH_VEHTYPE,4,E,Motor cycle 126cc - 500cc
VEH_VEHTYPE,5,E,Motor cycle over 500cc
VEH_VEHTYPE,8,E,Taxi/Private hire car
VEH_VEHTYPE,9,E,Car
VEH_VEHTYPE,10,E,Minibus (8 - 16 passenger seats)
VEH_VEHTYPE,11,E,Bus or coach (17 or more pass seats)
VEH_VEHTYPE,14,E,Other motor vehicle
VEH_VEHTYPE,15,E,Other non-motor vehicle
VEH_VEHTYPE,16,E,Ridden horse
VEH_VEHTYPE,17,E,Agricultural veh (incl diggers etc.)
VEH_VEHTYPE,18,E,Tram
VEH_VEHTYPE,19,E,Goods 3.5 tonnes mgw or under
VEH_VEHTYPE,20,E,Goods over 3.5t. and under 7.5t.
VEH_VEHTYPE,21,E,Goods 7.5 tonnes mgw and over
VEH_VEHTYPE,103,E,Scooter (pre 1999)
VEH_VEHTYPE,104,E,Motor cycle (pre 1999)
VEH_VEHTYPE,105,E,Combination (pre 1999)
VEH_VEHTYPE,106,E,Motor cycle over 125 cc (1999-2004)
VEH_VEHTYPE,108,E,Taxi (excluding private hire cars)(pre 2005)
VEH_VEHTYPE,109,E,Car (including private hire cars)(pre 2005)
VEH_VEHTYPE,110,E,Minibus/Motor caravan (pre 1999)
VEH_VEHTYPE,113,E,Goods over 3.5 tonnes (pre 1999)
VEH_DRIVEGENDER,1,E,Male
VEH_DRIVEGENDER,2,E,Female
VEH_DRIVEGENDER,3,E,Not traced
VEH_HITANDRUN,0,E,Other
VEH_HITANDRUN,1,E,Hit and run
VEH_HITANDRUN,2,E,Non-stop vehicle not hit
VEH_FOREIGN,0,E,Not foreign registered vehicle
VEH_FOREIGN,1,E,Foreign reg'd veh - left hand drive
VEH_FOREIGN,2,E,Foreign reg'd veh - right hand drive
VEH_FOREIGN,3,E,Foreign reg'd veh - two wheeler
VEH_PURPOSE,1,E,Journey as part of work
VEH_PURPOSE,2,E,Commuting to/from work
VEH_PURPOSE,3,E,Taking pupil to/from school
VEH_PURPOSE,4,E,Pupil riding to/from school
VEH_PURPOSE,5,E,Other/Not known
CAS_CASCLASS,1,E,Driver or rider
CAS_CASCLASS,2,E,Passenger
CAS_CASCLASS,3,E,Pedestrian
CAS_CASGENDER,1,E,Male
CAS_CASGENDER,2,E,Female
CAS_CASSEV,1,E,Fatal
CAS_CASSEV,2,E,Serious
CAS_CASSEV,3,E,Slight
